map,side,formation_window,horizon,x_bin,y_bin,mean_markout_bps,count
pressure_x_volatility,sell,10,60,4,3,-0.10281696877910436,6389
pressure_x_volatility,sell,10,60,4,4,0.3354159114910001,4600
pressure_x_volatility,sell,10,60,4,5,1.2234385815818334,3024
pressure_x_volatility,sell,10,60,5,1,0.7442806492940436,6567
pressure_x_volatility,sell,10,60,5,2,0.4446562974992753,5026
pressure_x_volatility,sell,10,60,5,3,-0.27009835979944646,3046
pressure_x_volatility,sell,10,60,5,4,-0.702209007995271,1441
pressure_x_volatility,sell,10,60,5,5,-2.897868491859146,1127
cancellation_x_replenishment,sell,10,60,1,1,-0.8397937949384472,16892
cancellation_x_replenishment,sell,10,60,1,2,-1.0528934569715314,17416
cancellation_x_replenishment,sell,10,60,1,3,-0.02374613241558433,8260
cancellation_x_replenishment,sell,10,60,1,4,4.185470363824019,2914
cancellation_x_replenishment,sell,10,60,1,5,-1.9206318385904477,845
cancellation_x_replenishment,sell,10,60,2,1,0.014404287489993957,4868
cancellation_x_replenishment,sell,10,60,2,2,-0.3562631928908805,17535
cancellation_x_replenishment,sell,10,60,2,3,-0.3171854774801705,18695
cancellation_x_replenishment,sell,10,60,2,4,0.8274932012095729,10911
cancellation_x_replenishment,sell,10,60,2,5,3.1686554095891935,2888
cancellation_x_replenishment,sell,10,60,3,1,0.5212117085616974,400
cancellation_x_replenishment,sell,10,60,3,2,0.09113056589822893,6433
cancellation_x_replenishment,sell,10,60,3,3,-0.011111612806014633,15495
cancellation_x_replenishment,sell,10,60,3,4,0.24406406605091424,16741
cancellation_x_replenishment,sell,10,60,3,5,0.6835122254385142,5870
cancellation_x_replenishment,sell,10,60,4,1,-2.997942041147177,57
cancellation_x_replenishment,sell,10,60,4,2,-0.8800674138909342,911
cancellation_x_replenishment,sell,10,60,4,3,0.3243250501338404,7233
cancellation_x_replenishment,sell,10,60,4,4,0.7977909881333314,15949
cancellation_x_replenishment,sell,10,60,4,5,0.8964582760072828,11707
cancellation_x_replenishment,sell,10,60,5,1,3.465502747128561,34
cancellation_x_replenishment,sell,10,60,5,2,-2.7385571671016358,82
cancellation_x_replenishment,sell,10,60,5,3,1.0753842359082932,579
cancellation_x_replenishment,sell,10,60,5,4,0.6669238560543103,5206
cancellation_x_replenishment,sell,10,60,5,5,1.4311642970772578,19607
market_flow_x_replenishment,sell,10,60,1,1,-0.1527915966162007,3569
market_flow_x_replenishment,sell,10,60,1,2,-1.7354700034667994,4858
market_flow_x_replenishment,sell,10,60,1,3,0.18746793462724246,5480
market_flow_x_replenishment,sell,10,60,1,4,0.5428190243042154,5072
market_flow_x_replenishment,sell,10,60,1,5,0.6112791303857493,3293
market_flow_x_replenishment,sell,10,60,2,1,-0.2275223172535823,3689
market_flow_x_replenishment,sell,10,60,2,2,-0.29617164597806506,6251
market_flow_x_replenishment,sell,10,60,2,3,0.20220418489616163,7573
market_flow_x_replenishment,sell,10,60,2,4,0.6154792804447009,7404
market_flow_x_replenishment,sell,10,60,2,5,1.3262515600274514,4922
market_flow_x_replenishment,sell,10,60,3,1,-1.0523389608736031,4601
market_flow_x_replenishment,sell,10,60,3,2,-0.35830959826432834,8137
market_flow_x_replenishment,sell,10,60,3,3,0.0018408287556887328,9522
market_flow_x_replenishment,sell,10,60,3,4,0.8903631253194776,9878
market_flow_x_replenishment,sell,10,60,3,5,0.9900214566032774,7151
market_flow_x_replenishment,sell,10,60,4,1,0.08596821311680539,5203
market_flow_x_replenishment,sell,10,60,4,2,0.05938579583188331,10447
market_flow_x_replenishment,sell,10,60,4,3,0.029411620406778086,12336
market_flow_x_replenishment,sell,10,60,4,4,0.5812216296805466,13012
market_flow_x_replenishment,sell,10,60,4,5,0.8233877253873274,10546
market_flow_x_replenishment,sell,10,60,5,1,-1.5766208613052426,5189
market_flow_x_replenishment,sell,10,60,5,2,-0.9813058717612502,12684
market_flow_x_replenishment,sell,10,60,5,3,-0.40834969254057357,15351
market_flow_x_replenishment,sell,10,60,5,4,1.0907392278632724,16355
market_flow_x_replenishment,sell,10,60,5,5,1.7189065211395944,15005
