split,side,proxy,formation_window,horizon,low_pressure_mean_markout_bps,high_pressure_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,low_count,high_count
test,buy,P2_market_cancel,5,1,-0.11616557574988927,0.10394143963297739,0.22010701538286664,0.07649868909176276,45461,20703
validation,buy,P2_market_cancel,5,5,-0.3232266189076596,0.20813967068651038,0.53136628959417,0.11315010486898272,37922,60038
test,buy,P2_market_cancel,5,5,-0.36299241397606113,0.3240845177456349,0.687076931721696,0.10824839635948207,45447,20703
validation,buy,P2_market_cancel,5,10,-0.46777671848238717,0.28331671732038677,0.7510934358027739,0.10212266376950531,37901,60010
test,buy,P2_market_cancel,5,10,-0.5548575112359656,0.47927996021803837,1.034137471454004,0.10675853873665313,45426,20702
validation,buy,P2_market_cancel,5,30,-0.5210194260521631,0.23410765320113083,0.7551270792532939,0.0518016967146953,37830,59912
test,buy,P2_market_cancel,5,30,-0.6610126116365623,0.3885242007149437,1.049536812351506,0.0638937939358813,45346,20669
validation,buy,P2_market_cancel,5,60,-0.5797119398524245,0.19931884290971513,0.7790307827621397,0.035409680569849916,37720,59823
test,buy,P2_market_cancel,5,60,-0.871985821692823,0.09994526507129085,0.9719310867641139,0.04105326361981615,45269,20639
validation,buy,P2_market_cancel,5,300,-0.8213599371752697,-0.026766132391937526,0.7945938047833322,0.014706399472411279,37051,58703
test,buy,P2_market_cancel,5,300,-1.8949581422362807,-1.550369496624176,0.3445886456121048,0.008965672869213077,44341,20286
validation,buy,P3_full_depth_norm,5,1,0.04697694981322073,-0.037671768101545954,-0.08464871791476669,-0.04058671092235553,75362,38209
test,buy,P3_full_depth_norm,5,1,0.04768511659314402,-0.0636155797303707,-0.11130069632351472,-0.037030336102292546,86803,19016
validation,buy,P3_full_depth_norm,5,5,0.09051208373200965,-0.07718247763312051,-0.16769456136513017,-0.027490304698803862,75336,38202
test,buy,P3_full_depth_norm,5,5,0.07613056893764353,-0.14624815083953874,-0.22237871977718227,-0.016956057135155023,86769,19011
validation,buy,P3_full_depth_norm,5,10,0.14840450043779357,-0.12863493473362822,-0.2770394351714218,-0.028883915717257496,75296,38184
test,buy,P3_full_depth_norm,5,10,0.088700543731942,-0.23775312499760695,-0.32645366872954895,-0.012674006621309061,86733,18998
validation,buy,P3_full_depth_norm,5,30,0.22441390674185416,-0.1916787826521928,-0.416092689394047,-0.026776773125073403,75177,38129
test,buy,P3_full_depth_norm,5,30,0.1108978357592308,-0.6924306978322234,-0.8033285335914543,-0.014744593152509361,86617,18965
validation,buy,P3_full_depth_norm,5,60,0.2157040090338234,-0.43381428308751563,-0.649518292121339,-0.02744980332432552,74977,38100
test,buy,P3_full_depth_norm,5,60,0.11073455790168744,-1.1205939722485754,-1.2313285301502628,-0.022682643953480176,86416,18920
validation,buy,P3_full_depth_norm,5,300,-0.6301365292857151,-0.26830555233813724,0.3618309769475778,0.0026211527299228416,73617,37502
test,buy,P3_full_depth_norm,5,300,-1.1122375547391756,-2.340225582310487,-1.2279880275713115,-0.02057096639689496,85013,18486
validation,buy,P1_market,10,1,0.011001395098350193,-0.013844626542342213,-0.024846021640692405,-0.0030951406455036463,36699,71643
test,buy,P1_market,10,1,0.00133302913955093,-0.033337595178274185,-0.03467062431782512,-0.009393228683419477,54377,39296
validation,buy,P1_market,10,5,0.02883233456653728,-0.03949320434610045,-0.06832553891263773,-0.004543866061594919,36690,71627
test,buy,P1_market,10,5,-0.027623869989917754,-0.10993381692113119,-0.08230994693121343,-0.011011194978647656,54348,39290
validation,buy,P1_market,10,10,0.041424052981591686,-0.06640398227702256,-0.10782803525861424,-0.008038933693759916,36673,71618
test,buy,P1_market,10,10,-0.06283906588430445,-0.18415531565257004,-0.12131624976826559,-0.00982407289167552,54315,39280
validation,buy,P1_market,10,30,0.02332275114289438,-0.21937192368373354,-0.24269467482662793,-0.011002926731329578,36574,71543
test,buy,P1_market,10,30,-0.048164578047921486,-0.6007352366977396,-0.5525706586498181,-0.006333672185731686,54216,39239
validation,buy,P1_market,10,60,-0.1507830866023593,-0.19635828577181866,-0.045575199169459346,-0.001416985396017003,36447,71381
test,buy,P1_market,10,60,-0.16712732912493597,-1.0385767772217005,-0.8714494480967645,-0.0022465556239471087,54108,39145
validation,buy,P1_market,10,300,-1.4979224518134182,0.07959068487939164,1.57751313669281,0.019367583598434553,35671,70407
test,buy,P1_market,10,300,-0.2980130318311094,-3.009999466184577,-2.7119864343534674,0.0066934869501494906,52974,38289
validation,buy,P2_market_cancel,10,1,-0.10217932255722824,0.058778945041699754,0.160958267598928,0.06691051153600887,34785,59934
test,buy,P2_market_cancel,10,1,-0.09861445136936882,0.08831745433563237,0.18693190570500118,0.06321332190231087,48683,18487
validation,buy,P2_market_cancel,10,5,-0.3117639076503015,0.16501028386026062,0.4767741915105621,0.09246744006067996,34776,59906
test,buy,P2_market_cancel,10,5,-0.3188941092868964,0.28945803973636086,0.6083521490232573,0.09342284438070478,48662,18486
validation,buy,P2_market_cancel,10,10,-0.41929697968510854,0.19890883644521828,0.6182058161303268,0.08036009923586852,34766,59880
test,buy,P2_market_cancel,10,10,-0.5033195336155645,0.3801610962155497,0.8834806298311142,0.08961150325041513,48633,18484
validation,buy,P2_market_cancel,10,30,-0.4275702826239215,0.17732937463682963,0.6048996572607511,0.03883239011321639,34682,59779
test,buy,P2_market_cancel,10,30,-0.6362700506994743,0.25561939340064127,0.8918894441001155,0.0530133544391203,48563,18454
validation,buy,P2_market_cancel,10,60,-0.48739955583675726,0.133598734982806,0.6209982908195633,0.025660838399082647,34575,59690
test,buy,P2_market_cancel,10,60,-0.8521741720530475,-0.16760065459072687,0.6845735174623206,0.03153817347382932,48479,18426
validation,buy,P2_market_cancel,10,300,-0.6396682966824309,-0.11242623169949564,0.5272420649829352,0.012167986844048174,33930,58574
test,buy,P2_market_cancel,10,300,-1.860444042535613,-1.7228934958943987,0.13755054664121436,0.003598860686361889,47412,18149
validation,buy,P3_full_depth_norm,10,1,0.031873760779234955,-0.04073228625376089,-0.07260604703299584,-0.030179192224715677,78342,35178
test,buy,P3_full_depth_norm,10,1,0.02502455800501227,-0.06126049387743174,-0.08628505188244401,-0.023513051680123614,94234,16812
validation,buy,P3_full_depth_norm,10,5,0.08150251464405127,-0.09758458640430274,-0.179087101048354,-0.02590850045321401,78308,35170
test,buy,P3_full_depth_norm,10,5,0.04026759243907195,-0.19305621369901813,-0.23332380613809006,-0.011920839687266331,94201,16804
validation,buy,P3_full_depth_norm,10,10,0.1340902305430127,-0.14119946944632175,-0.27528969998933445,-0.02645448421380475,78266,35154
test,buy,P3_full_depth_norm,10,10,0.058737085865705294,-0.37538651793114486,-0.43412360379685017,-0.009069660919877908,94160,16790
validation,buy,P3_full_depth_norm,10,30,0.19648883306627699,-0.25826687407060306,-0.45475570713688007,-0.02545064609126538,78137,35105
test,buy,P3_full_depth_norm,10,30,0.11996542410365696,-0.9262252731759888,-1.0461906972796458,-0.015433829801609312,94037,16753
validation,buy,P3_full_depth_norm,10,60,0.19582917053194618,-0.5299384997644006,-0.7257676702963467,-0.027933318799772257,77908,35073
test,buy,P3_full_depth_norm,10,60,0.13545780841360777,-1.5160938338883274,-1.6515516423019352,-0.024242100823011682,93821,16718
validation,buy,P3_full_depth_norm,10,300,-0.7924936340655676,-0.3525184142005576,0.43997521986501004,0.004924481886098751,76446,34514
test,buy,P3_full_depth_norm,10,300,-1.2036882508823208,-2.1999211286989664,-0.9962328778166456,-0.022359511222723356,92329,16333
validation,buy,P1_market,30,1,0.010845258317438631,-0.00947594728714712,-0.02032120560458575,-0.004133346720635761,31229,76012
test,buy,P1_market,30,1,0.004942333876109744,-0.02894418940439191,-0.03388652328050165,-0.006057128349530729,55260,39117
validation,buy,P1_market,30,5,0.038575548145330166,-0.029177893103784283,-0.06775344124911445,-0.00618495779155642,31209,76000
test,buy,P1_market,30,5,0.000795624810815616,-0.10966983187866815,-0.11046545668948377,-0.009441735464344316,55242,39109
validation,buy,P1_market,30,10,0.04824220362780061,-0.069535329577598,-0.1177775332053986,-0.009325541963196097,31180,75990
test,buy,P1_market,30,10,-0.0002297584767461177,-0.203828539650803,-0.2035987811740569,-0.005700928278458687,55225,39099
validation,buy,P1_market,30,30,0.04792099015680805,-0.13425115420063646,-0.1821721443574445,-0.006399451533732585,31078,75920
test,buy,P1_market,30,30,0.026784898090772738,-0.5341315589756713,-0.5609164570664441,-0.006394779813098605,55182,39081
validation,buy,P1_market,30,60,-0.16349398189752523,-0.022480029745275965,0.14101395215224927,0.003561496874809018,30977,75788
test,buy,P1_market,30,60,-0.09348460416909732,-0.7326414311951684,-0.6391568270260711,0.001389850600155161,55048,39016
validation,buy,P1_market,30,300,-1.9707091931054892,0.5708318842802886,2.541541077385778,0.030783791031116836,30303,74779
test,buy,P1_market,30,300,-0.6305922876757002,-3.319217168947528,-2.688624881271828,0.009464113774788273,54152,38089
validation,buy,P2_market_cancel,30,1,-0.03995338550669654,0.023367042742775578,0.06332042824947212,0.03726630341209103,31110,60639
test,buy,P2_market_cancel,30,1,-0.04429060444446769,0.03133468505728668,0.07562528950175437,0.03718798935270425,61827,14943
validation,buy,P2_market_cancel,30,5,-0.09043973189922723,0.06820539033885042,0.15864512223807764,0.0518511513722538,31094,60615
test,buy,P2_market_cancel,30,5,-0.13792741859235766,0.057263729759750116,0.19519114835210777,0.05558976912475617,61807,14939
validation,buy,P2_market_cancel,30,10,-0.08538945427634921,0.08523202684565424,0.17062148112200345,0.04285006156588508,31074,60584
