side,formation_window,horizon,market_only_r2,plus_cancel_r2,plus_replenishment_r2,full_proxy_r2,cancel_increment_r2,replenishment_increment_r2,full_proxy_increment_r2_vs_controls,market_only_rank_correlation,full_proxy_rank_correlation,full_proxy_top_minus_bottom_markout_bps
buy,10,1,0.0239812709013294,0.02392194038057638,0.023724060262229396,0.023785135898447884,-5.9330520753020366e-05,-0.0001978801183469825,0.00043760832367290003,0.23414802082569233,0.23626530452249336,-0.08628505188244401
buy,10,5,0.02142039006229124,0.021520380418995844,0.0212610701274073,0.020374509308781374,9.999035670460454e-05,-0.0002593102915885437,0.00034297284912088166,0.23114250677725462,0.2315654363307515,-0.23332380613809006
buy,10,10,0.01908976014768249,0.019276755147785374,0.018973173334374205,0.017278373272931358,0.00018699500010288528,-0.00030358181341116897,0.00035087402988964733,0.21358562256424887,0.2135883357589431,-0.43412360379685017
buy,10,30,0.011090578923660721,0.011730759536187296,0.011279205950784021,0.008505784722261933,0.0006401806125265752,-0.00045155358540327484,0.00022614632861317485,0.13428353871341686,0.1331061116340002,-1.0461906972796458
buy,10,60,0.0019513308344965008,0.0026135144574160885,0.002095144084880096,0.0019777829217608733,0.0006621836229195877,-0.0005183703725359923,-0.00043906159042561566,0.08877687565494095,0.0876444812378183,-1.6515516423019352
buy,10,300,0.00044888618415350745,0.000544385114805257,0.0010889119904829991,0.0009217232479235005,9.549893065174953e-05,0.0005445268756777422,0.0004645652298004288,0.03225150085954843,0.03023609225303464,-0.9962328778166456
buy,30,1,0.023409454931236917,0.02340130884048286,0.022635236313769513,0.023092483961985044,-8.146090754057589e-06,-0.0007660725267133461,-4.8962506477567835e-05,0.23720747398635642,0.2370163602228044,-0.06865568071813583
buy,30,5,0.02145473903096895,0.02151090314616999,0.020401537099031475,0.01996721376160815,5.616411520104059e-05,-0.0011093660471385158,-0.0003197948976956244,0.23520295137448913,0.23371202942449487,-0.2655850037107458
buy,30,10,0.018901572762211938,0.019040590072888608,0.017912267413851213,0.01680993136587905,0.00013901731067667011,-0.0011283226590373951,-0.0004193279543390771,0.2170895447001316,0.21510079889259082,-0.4747717651667974
buy,30,30,0.009013137721725184,0.009518140069152636,0.008218376017232187,0.007102601259774688,0.0005050023474274523,-0.001299764051920449,-0.001229691452145354,0.134637125376799,0.13097868121199777,-1.2360040654485358
buy,30,60,-0.002846500121457707,-0.002256021005501374,-0.003218955098957421,0.0007529990359471661,0.0005904791159563327,-0.0009629340934560471,-0.0017271083818514166,0.08903063877878566,0.08698091840571286,-2.395535251442161
buy,30,300,0.0011948231501081041,0.0012274802533035478,0.0024458646670133533,0.0022769609910699984,3.265710319544368e-05,0.0012183844137098054,0.0012135129382394583,0.03363823029031242,0.03086858996768404,0.2810601174772899
buy,60,1,0.022322064246237283,0.02232984411232497,0.021391436569627054,0.02251741037074828,7.779866087687104e-06,-0.0009384075426979166,-0.0003699127604459562,0.23744013102067196,0.2367844961978312,-0.08280789406583411
buy,60,5,0.019317238293923844,0.019346546447856383,0.01792466798381409,0.019584077321874505,2.930815393253905e-05,-0.0014218784640422921,-0.001108790887375588,0.23523756587847125,0.23389349629705247,-0.3596633004467508
buy,60,10,0.015264384936656494,0.01538525981080019,0.01378913498320855,0.01607124820611905,0.00012087487414369491,-0.0015961248275916384,-0.001633427039069879,0.21532918891840344,0.2143301528543175,-0.7000276840188946
buy,60,30,0.0020491002754469134,0.0025199661242480964,0.0011934743095042277,0.006266587936477053,0.000470865848801183,-0.0013264918147438687,-0.00256514262825569,0.13214130812043254,0.13070848136280927,-1.9820730571997784
buy,60,60,-0.0061856112650762185,-0.005692443471274844,-0.006515722625020759,0.00018917414137464839,0.0004931677938013745,-0.000823279153745915,-0.002694307064076029,0.09208537012906771,0.08893687198836218,-3.807195520785238
buy,60,300,0.002699426219082257,0.0026832688323801257,0.00466656489552042,0.0042337844673415725,-1.6157386702131404e-05,0.001983296063140294,0.002326164796957131,0.036133098136355735,0.033071877715458865,0.5776701790698043
