split,side,formation_window,horizon,pressure_quantile,mean_markout_bps,ci_low,ci_high,adverse_frequency,observation_count
test,buy,1,30,2,-0.15655444967446516,-0.2719058322887169,-0.04120306706021344,0.49625753250872184,31530
test,buy,1,30,3,-0.2883241072628713,-0.40818829195137524,-0.16845992257436732,0.4977839981338932,25722
test,buy,1,30,4,-0.351770806575863,-0.47776975170371666,-0.22577186144800937,0.5008497542602545,21771
test,buy,1,30,5,-0.38247175197528693,-0.5027285777039235,-0.2622149262466503,0.5013221916649038,18908
test,buy,1,30,6,-0.20312376777002453,-0.3467238789986776,-0.0595236565413714,0.49533883112226607,16734
test,buy,1,30,7,-0.08188106951369015,-0.2277719264904366,0.0640097874630563,0.4839833344716891,14641
test,buy,1,30,8,-0.09541673050747594,-0.231849537289747,0.0410160762747951,0.46292031321971444,13026
test,buy,1,30,9,0.04575861132149567,-0.1536388612347612,0.24515608387775253,0.4417633410672854,10775
test,buy,1,30,10,-0.9952875878229763,-1.2835214225166818,-0.7070537531292709,0.46916659499440955,11627
validation,buy,1,60,1,0.39981101589950685,0.29379112549614805,0.5058309063028656,0.46999822249308043,39381
validation,buy,1,60,2,0.1970045232203639,0.09032054601562872,0.3036885004250991,0.48074348020149205,31366
validation,buy,1,60,3,-0.12176165654780827,-0.23045177650743884,-0.013071536588177696,0.48853735180688473,28004
validation,buy,1,60,4,-0.2256728342712409,-0.3373066370719775,-0.11403903147050433,0.4942524286875411,25837
validation,buy,1,60,5,-0.36344372890197774,-0.4750035396716976,-0.25188391813225786,0.49865394028389626,24516
validation,buy,1,60,6,-0.3236446459540735,-0.4362682810254005,-0.2110210108827465,0.49908304951532617,22902
validation,buy,1,60,7,-0.24243544290554517,-0.3541479925810471,-0.1307228932300432,0.5019157088122606,22185
validation,buy,1,60,8,-0.29626043970549276,-0.40721579000588315,-0.18530508940510235,0.4953207911239749,20730
validation,buy,1,60,9,-0.1837050471577325,-0.30025067453745224,-0.06715941977801274,0.47322637774768206,19198
validation,buy,1,60,10,-0.22957963222801303,-0.3374919959882556,-0.12166726846777048,0.4905959381125151,23979
test,buy,1,60,1,0.5225502079402293,0.3060349480646899,0.7390654678157688,0.48154759145069315,43138
test,buy,1,60,2,-0.2757520916927199,-0.4545997777609789,-0.09690440562446095,0.5014782083479035,31457
test,buy,1,60,3,-0.3941771186783117,-0.5841032797616974,-0.20425095759492592,0.5081201074891927,25677
test,buy,1,60,4,-0.44191416477380924,-0.6357151856218638,-0.2481131439257547,0.5123164049910217,21719
test,buy,1,60,5,-0.5576152774785221,-0.7467831736665479,-0.36844738129049637,0.5132527565733672,18864
test,buy,1,60,6,-0.40445916204505006,-0.6063568825067693,-0.20256144158333084,0.5156306144448437,16698
test,buy,1,60,7,-0.15022122967850307,-0.3995317132213747,0.09908925386436854,0.502428346672139,14619
test,buy,1,60,8,-0.3481305682753551,-0.5547695298240075,-0.14149160672670272,0.5034981163988621,13007
test,buy,1,60,9,-0.191133867017099,-0.48397939361923575,0.10171165958503775,0.4676774253557809,10751
test,buy,1,60,10,-1.499012349409691,-1.9785940662911434,-1.0194306325282385,0.5012933264355923,11598
validation,buy,1,300,1,-0.4005033895731156,-0.6282049357230611,-0.1728018434231701,0.4990436311000827,38688
validation,buy,1,300,2,-0.5673901993977506,-0.8074446327511204,-0.32733576604438075,0.5121887798218813,30766
validation,buy,1,300,3,-0.2402215563468561,-0.48822444213947913,0.007781329445766955,0.4998182082606166,27504
validation,buy,1,300,4,-0.783513326210451,-1.0394103147658285,-0.5276163376550735,0.5174693106704438,25416
validation,buy,1,300,5,-0.5744606325678029,-0.8286218753125392,-0.32029938982306666,0.5106929708222812,24128
validation,buy,1,300,6,-0.6214283621469258,-0.8868040499641654,-0.3560526743296861,0.5198474298132789,22547
validation,buy,1,300,7,-0.24587230172355504,-0.5025063866046242,0.01076178315751411,0.506136093048814,21838
validation,buy,1,300,8,-0.300236371781445,-0.559776843954672,-0.04069589960821812,0.507686262953686,20361
validation,buy,1,300,9,-0.16229912561902846,-0.4281120943193424,0.10351384308128544,0.508700481303221,18907
validation,buy,1,300,10,-0.16526562923063648,-0.41206620729677423,0.08153494883550125,0.5024764001185286,23623
test,buy,1,300,1,-0.49634480580881163,-1.0396601751095076,0.04697056349188439,0.5005775441408736,42421
test,buy,1,300,2,-1.1850157117880324,-1.6018622095413586,-0.7681692140347063,0.5213009915700397,30961
test,buy,1,300,3,-1.9303048556323827,-2.3563220391493553,-1.5042876721154101,0.5304471931493815,25224
test,buy,1,300,4,-1.4386398570084185,-1.909585146636151,-0.9676945673806859,0.5287495912933813,21409
test,buy,1,300,5,-2.0854932792678835,-2.570667850922192,-1.600318707613575,0.533627461530184,18586
test,buy,1,300,6,-1.9237256475948978,-2.409582104011276,-1.4378691911785197,0.524474245656812,16405
test,buy,1,300,7,-0.9856066565250765,-1.5218615123407542,-0.44935180070939873,0.5250801170405461,14354
test,buy,1,300,8,-1.752681647972406,-2.3962387138174246,-1.1091245821273876,0.5178501063913626,12689
test,buy,1,300,9,-3.455024365868636,-4.280575023377294,-2.629473708359978,0.5422970786944524,10509
test,buy,1,300,10,-0.6281679052484356,-1.5266747836490853,0.2703389731522141,0.5241864555848724,11370
validation,buy,2,1,1,0.11460198536852155,0.10190548256269444,0.12729848817434866,0.25745597832779216,40605
validation,buy,2,1,2,0.020084322419725027,0.00878185822753082,0.03138678661191924,0.2567348465951609,32072
validation,buy,2,1,3,0.006618599259266321,-0.00445494548261619,0.01769214400114883,0.23405382496291588,28314
validation,buy,2,1,4,-0.020606700818535502,-0.03143244247731761,-0.009780959159753393,0.2316884099073549,26445
validation,buy,2,1,5,-0.04018221738886547,-0.05089797065195091,-0.029466464125780023,0.22119815668202766,24738
validation,buy,2,1,6,-0.04559028650632862,-0.05652669420991209,-0.03465387880274515,0.2115979943318073,22935
validation,buy,2,1,7,-0.042682795816899835,-0.05323521260764788,-0.03213037902615179,0.196324373994946,21765
validation,buy,2,1,8,-0.03214415361623439,-0.042322638821152406,-0.021965668411316377,0.1720838542167516,20798
validation,buy,2,1,9,-0.0027162273313839237,-0.013058726706741823,0.007626272043973975,0.13899693999273896,19281
validation,buy,2,1,10,-0.07190391250408949,-0.0820635157020224,-0.06174430930615658,0.1577880848381141,22207
test,buy,2,1,1,0.13172748465822592,0.11130406414374018,0.15215090517271168,0.3075692281435337,46874
test,buy,2,1,2,0.009629153729528566,-0.007638120416624974,0.026896427875682104,0.2839785512816539,32263
test,buy,2,1,3,-0.039958402602711836,-0.05697325405615937,-0.022943551149264302,0.2675816786646626,25282
test,buy,2,1,4,-0.05696439621333218,-0.07310042269382201,-0.040828369732842346,0.24916419019316494,21536
test,buy,2,1,5,-0.07853861233372877,-0.09480802844015748,-0.062269196227300073,0.24017987755323184,18457
test,buy,2,1,6,-0.07084087220233505,-0.0903117061321543,-0.051370038272515794,0.22652311904910075,16069
test,buy,2,1,7,-0.03587940457836167,-0.05410228211518893,-0.017656527041534403,0.20101102295864634,14243
test,buy,2,1,8,-0.03870636508208637,-0.05609079386448525,-0.0213219362996875,0.17225597727452063,12673
test,buy,2,1,9,-0.013870576973318624,-0.031037554634779058,0.0032964006881418106,0.14146524264568108,10674
test,buy,2,1,10,-0.12432802596996742,-0.15581244293542207,-0.09284360900451277,0.1612840843163798,10342
validation,buy,2,5,1,0.1870854393974129,0.15667029869965945,0.21750058009516635,0.3791081547179108,40590
validation,buy,2,5,2,0.044821832462325004,0.01652558702828687,0.07311807789636314,0.38271258344251047,32058
validation,buy,2,5,3,0.016611596624646837,-0.01090378078284231,0.04412697403213599,0.37537537537537535,28305
validation,buy,2,5,4,-0.040095699718490016,-0.0672522437207282,-0.01293915571625183,0.3737943034383629,26437
validation,buy,2,5,5,-0.10827833596229906,-0.1365312393911146,-0.08002543253348353,0.37244279129942587,24734
validation,buy,2,5,6,-0.10760735525428732,-0.13486400040984226,-0.08035071009873239,0.3607658423830084,22929
validation,buy,2,5,7,-0.09833951309826046,-0.12603298906785904,-0.07064603712866188,0.35237351224667984,21761
validation,buy,2,5,8,-0.06053659389992047,-0.0879483499802875,-0.03312483781955344,0.3204789152281579,20797
validation,buy,2,5,9,0.03601770690732699,0.007676049224570214,0.06435936459008376,0.287226315243333,19274
validation,buy,2,5,10,-0.1052817268228428,-0.13514663820059816,-0.07541681544508745,0.307390893122551,22203
test,buy,2,5,1,0.27463996312873495,0.2253664665050089,0.323913459752461,0.40630001920737563,46857
test,buy,2,5,2,-0.057598906341999656,-0.09845301706596231,-0.016744795618037003,0.41008867117256775,32254
test,buy,2,5,3,-0.07845344347859297,-0.12062646092134166,-0.036280426035844276,0.3981008902077151,25275
test,buy,2,5,4,-0.13738300249147667,-0.18075962506920729,-0.09400637991374604,0.3897352531351602,21530
test,buy,2,5,5,-0.1541682615310351,-0.19689652123856,-0.11144000182351022,0.38426101566310766,18451
test,buy,2,5,6,-0.14496742932688544,-0.19149743265678704,-0.09843742599698385,0.3705571117335823,16065
test,buy,2,5,7,-0.08223369001827802,-0.12939994448328718,-0.03506743555326885,0.34585938048746223,14237
test,buy,2,5,8,-0.06387965872244765,-0.11212110959830979,-0.015638207846585504,0.3118143792912951,12671
test,buy,2,5,9,0.01091251637495675,-0.04078923314161376,0.06261426589152726,0.2761431784107946,10672
test,buy,2,5,10,-0.2796600999778688,-0.36823030874598706,-0.19108989120975053,0.2961028914031525,10341
validation,buy,2,10,1,0.25113763755957014,0.2078466986875513,0.294428576431589,0.4293037584719655,40575
validation,buy,2,10,2,0.08106262351232203,0.040974472400234795,0.12115077462440926,0.4322316886683519,32043
validation,buy,2,10,3,0.007653356869379729,-0.03276390281502679,0.04807061655378624,0.43010144568944186,28291
validation,buy,2,10,4,-0.05098899665927803,-0.09028847517941521,-0.01168951813914084,0.433079804745147,26427
validation,buy,2,10,5,-0.14177297850297765,-0.18296451545032957,-0.10058144155562573,0.4388419392665076,24731
validation,buy,2,10,6,-0.19309977680325244,-0.23597013940247005,-0.15022941420403482,0.43363140676117773,22925
validation,buy,2,10,7,-0.11839851899187342,-0.15906687471162043,-0.07773016327212642,0.4254262995817438,21757
validation,buy,2,10,8,-0.1311663429190379,-0.17185213171710656,-0.09048055412096923,0.40796306982111946,20796
validation,buy,2,10,9,0.03562990793710068,-0.006714850754633725,0.07797466662883508,0.3759019882676634,19263
validation,buy,2,10,10,-0.11941050634860637,-0.1646540052781555,-0.07416700741905724,0.4003154574132492,22190
test,buy,2,10,1,0.31010640593631944,0.23822835537499598,0.3819844564976429,0.4495195387572069,46830
test,buy,2,10,2,-0.11345047188089039,-0.17300748434698687,-0.0538934594147939,0.46569904478352564,32244
test,buy,2,10,3,-0.0872106114200502,-0.15048372431324789,-0.023937498526852508,0.4470914127423823,25270
test,buy,2,10,4,-0.17960088493787718,-0.24463285334731483,-0.11456891652843952,0.4475677182548901,21523
test,buy,2,10,5,-0.22464755566580433,-0.2887305141275145,-0.16056459720409416,0.4543778801843318,18445
test,buy,2,10,6,-0.16035519074613794,-0.23140425351266453,-0.08930612797961134,0.4363715602042087,16062
test,buy,2,10,7,-0.11942482473755127,-0.19394586884012177,-0.04490378063498075,0.420594226311723,14237
test,buy,2,10,8,-0.09393427858567716,-0.16680070187909324,-0.021067855292261087,0.3936355022109918,12664
test,buy,2,10,9,0.06348854436341836,-0.01601125068469275,0.14298833941152947,0.3558368495077356,10665
test,buy,2,10,10,-0.34293961280274154,-0.48937366256106346,-0.19650556304441963,0.3970787386341652,10338
validation,buy,2,30,1,0.36928348819215184,0.29463767664074836,0.44392929974355533,0.46161633620583226,40499
validation,buy,2,30,2,0.09747617800478507,0.024787558055879455,0.1701647979536907,0.4737023031969749,31999
validation,buy,2,30,3,0.0014574733065935066,-0.07240630469123645,0.07532125130442345,0.47450605481198216,28242
validation,buy,2,30,4,-0.11634036622920943,-0.1903057781675238,-0.04237495429089504,0.4809608608343121,26393
validation,buy,2,30,5,-0.20700443562952497,-0.2830403381077043,-0.13096853315134566,0.49277766538539347,24715
validation,buy,2,30,6,-0.24904099304414468,-0.3280083141817984,-0.17007367190649098,0.4874011965588017,22899
validation,buy,2,30,7,-0.22176412535016737,-0.2974414581952556,-0.14608679250507917,0.4845835250805338,21730
validation,buy,2,30,8,-0.23605367504086305,-0.30920332501234876,-0.16290402506937735,0.4780243585423386,20773
validation,buy,2,30,9,-0.0068465811962642,-0.08498915335267179,0.07129599096014338,0.45101096730599305,19239
validation,buy,2,30,10,-0.23300459243837998,-0.3113855846252632,-0.15462360025149674,0.47171429861393294,22149
test,buy,2,30,1,0.40693768631147276,0.2744228752906666,0.539452497332279,0.47632794457274824,46764
test,buy,2,30,2,-0.14998497047403142,-0.2641079931991371,-0.03586194774892576,0.4965836387353252,32198
