sequence,side,strong_minus_weak_markout,quote_survival_difference,dynamic_vs_static_improvement,count
stratified_null_71,buy,1.0033953178576078,-0.0038932146829810943,1.0103781590028273,2358
stratified_null_71,sell,-0.6642314279346679,0.0031563182352611907,-1.1683640061095462,2510
stratified_null_71,combined,0.08846150155147692,0.0009705985965395292,-0.16798475432454485,4868
stratified_null_72,buy,-0.20790463136901938,-0.017155103084683154,2.673349130806823,2358
stratified_null_72,sell,-1.3606619092349428,-0.0073799059403169,-0.5829313137330128,2510
stratified_null_72,combined,-0.825754171995596,-0.011150748498750862,0.9713428862066283,4868
stratified_null_73,buy,-0.43899757468529577,-0.03885665513235703,1.8013778342286169,2358
stratified_null_73,sell,1.120274058912452,0.03340028553832369,1.010568735985303,2510
stratified_null_73,combined,0.22267903032803948,-0.003492859196391307,1.2518218649255117,4868
stratified_null_74,buy,-0.8483753793283827,-0.04105978018050216,0.1786995325576658,2358
stratified_null_74,sell,-1.6830227894914036,0.0005318851128156554,-0.9971026704582504,2510
stratified_null_74,combined,-1.4188585250535004,-0.019401848874923577,-0.5676149335084715,4868
stratified_null_75,buy,1.6282216752025607,-0.01220346399046035,3.2781417324802007,2358
stratified_null_75,sell,-0.715628962310144,0.016320474777448024,-0.1782282893183018,2510
stratified_null_75,combined,0.30959341353635905,0.0009463032624584811,1.386120523266288,4868
stratified_null_76,buy,-1.5222671293563281,0.014428158095020904,-0.8831651087949304,2358
stratified_null_76,sell,0.43545094365092496,0.03659509545938078,0.21411144911191404,2510
stratified_null_76,combined,-0.6031146962720281,0.02642158073541978,-0.40748458595745296,4868
stratified_null_77,buy,-0.7211805090289176,-0.01442815809502096,0.3460519008417353,2358
stratified_null_77,sell,-0.23181374235102675,0.02461368344437609,-0.8824811925057612,2510
stratified_null_77,combined,-0.6400286299660847,0.0034916444296873017,-0.4582025134555389,4868
stratified_null_78,buy,0.6066811915604912,-0.009433380887967191,3.3729860705755703,2358
stratified_null_78,sell,0.17484258745727277,0.0254500027993953,0.6661822909460093,2510
stratified_null_78,combined,0.2995878696847224,0.0073169447807548416,1.893374762956245,4868
stratified_null_79,buy,-0.27233273976383116,-0.014973547092953399,1.9520331664636066,2358
stratified_null_79,sell,0.7506561987853996,0.02541151111359946,1.5826014067595442,2510
stratified_null_79,combined,0.14721261270336783,0.005410975822093378,1.6539243192150428,4868
stratified_null_80,buy,0.7564714350148103,-0.028615975275698813,2.0415656501880006,2358
stratified_null_80,sell,-0.2604566562342323,0.02396632327417275,-0.6640528131662149,2510
stratified_null_80,combined,0.05478899729281972,-0.0041273723381424765,0.4695315011756641,4868
stratified_null_81,buy,0.17978705383833304,-0.034952655921168196,-0.9866800819064461,2358
stratified_null_81,sell,-0.3135950055038419,0.01354207491181908,-0.9570968928598541,2510
stratified_null_81,combined,-0.15241307355923814,-0.009856212114463414,-1.0493437055143242,4868
stratified_null_82,buy,0.7423029269463808,0.004165909181947258,0.305460633038813,2358
stratified_null_82,sell,-1.1166480491725461,0.0357587761043614,-0.35555293718892766,2510
stratified_null_82,combined,-0.23772220085649243,0.020049724450419304,-0.057147063801662235,4868
stratified_null_83,buy,0.05904017927374583,-0.004417034624498162,2.745406197604539,2358
stratified_null_83,sell,-0.893163836149018,0.013580566597614918,-1.816539639544495,2510
stratified_null_83,combined,-0.5385766311516146,0.005407331521981251,0.2873269698212856,4868
stratified_null_84,buy,-0.196885900872506,-0.033000656315573806,1.9053207295549055,2358
stratified_null_84,sell,-0.3924151709816816,0.031080286658081935,-0.6364446214565219,2510
stratified_null_84,combined,-0.3247523626636698,-0.0015978231380663344,0.5682032281200761,4868
stratified_null_85,buy,-0.20163759896186217,-0.05352515414172099,-0.25910092308792,2358
stratified_null_85,sell,-0.9366143547244048,-0.008331700352723848,-1.8313756360077986,2510
stratified_null_85,combined,-0.5709655866335872,-0.029590502144063224,-1.0599726217380665,4868
stratified_null_86,buy,3.0753269891514257,0.052707070644822385,6.414611945283626,2358
stratified_null_86,sell,0.3286089004219448,0.032144056883713135,0.8778918007501334,2510
stratified_null_86,combined,1.6487302017389533,0.04360810006438265,3.5500469525183673,4868
stratified_null_87,buy,2.1955600251178455,0.003053562129667009,5.5822599918673745,2358
stratified_null_87,sell,-1.048153359014259,0.002928867364649257,0.5670798187858985,2510
