side,formation_window,horizon,component,subgroup_type,subgroup,low_mean_markout_bps,high_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,observation_count,low_count,high_count
buy,2,300,P2_market_cancel_raw,all,all,-1.8079679125834067,-1.4129226086556905,0.3950453039277162,0.014539254601593011,203928,47679,22960
buy,2,300,P3_full_raw,all,all,-0.8036465794290311,-1.6523354683511147,-0.8486888889220836,-0.016036678450304247,203928,47267,26633
buy,2,300,P3_depth_normalized,all,all,-0.9568220604256101,-2.174423368591392,-1.217601308165782,-0.01591955429483445,203928,77512,20427
buy,2,300,inverse_depth_denominator,all,all,-1.6842063409011168,-1.5831252949366916,0.10108104596442513,-0.008576154202902043,203928,14620,50765
buy,5,1,market_flow,all,all,0.003101957544214084,-0.07351094874157098,-0.07661290628578506,-0.00668025100332645,208413,75790,20758
buy,5,1,cancellation,all,all,-0.13366915317874695,0.12294568953622838,0.2566148427149753,0.07533290238372976,208413,45818,20552
buy,5,1,negative_replenishment,all,all,0.2178254161254317,-0.17055389276438046,-0.38837930888981215,-0.11178837361052556,208413,30399,32680
buy,5,1,P2_market_cancel_raw,all,all,-0.11616557574988927,0.10394143963297739,0.22010701538286664,0.07201368712028564,208413,45461,20703
buy,5,1,P3_full_raw,all,all,0.18381477011511035,-0.14032780068932085,-0.3241425708044312,-0.10556780653846129,208413,49667,26331
buy,5,1,P3_depth_normalized,all,all,0.04768511659314402,-0.0636155797303707,-0.11130069632351472,-0.039732467922007415,208413,86803,19016
buy,5,1,inverse_depth_denominator,all,all,0.19071398123121708,-0.14642851936285797,-0.337142500594075,-0.10118405951716813,208413,13593,52555
buy,5,5,market_flow,all,all,-0.009323835379624015,-0.17866249701237452,-0.16933866163275052,-0.012214093975451666,208353,75758,20758
buy,5,5,cancellation,all,all,-0.42237235858706973,0.39238980647850363,0.8147621650655734,0.1074631022862802,208353,45804,20552
buy,5,5,negative_replenishment,all,all,0.6022203273426308,-0.5078816750481976,-1.1101020023908283,-0.13107294104880732,208353,30396,32672
buy,5,5,P2_market_cancel_raw,all,all,-0.36299241397606113,0.3240845177456349,0.687076931721696,0.10322359172400462,208353,45447,20703
buy,5,5,P3_full_raw,all,all,0.4245516922365467,-0.3930953464345518,-0.8176470386710986,-0.10907447868135485,208353,49659,26325
buy,5,5,P3_depth_normalized,all,all,0.07613056893764353,-0.14624815083953874,-0.22237871977718227,-0.01771218641363264,208353,86769,19011
buy,5,5,inverse_depth_denominator,all,all,0.6453031930833102,-0.41322160766947214,-1.0585248007527823,-0.13491588703937454,208353,13593,52547
buy,5,10,market_flow,all,all,-0.04537655782052967,-0.23354394401445563,-0.18816738619392598,-0.008197189424588042,208278,75716,20753
buy,5,10,cancellation,all,all,-0.6820557801981434,0.5638584874020445,1.2459142676001878,0.10849619239360299,208278,45778,20551
buy,5,10,negative_replenishment,all,all,0.8674498731108132,-0.7886705209178169,-1.6561203940286302,-0.1253023704494342,208278,30389,32657
buy,5,10,P2_market_cancel_raw,all,all,-0.5548575112359656,0.47927996021803837,1.034137471454004,0.10436207481280059,208278,45426,20702
buy,5,10,P3_full_raw,all,all,0.5876672480140821,-0.6214817489321359,-1.209148996946218,-0.0998682390513912,208278,49646,26311
buy,5,10,P3_depth_normalized,all,all,0.088700543731942,-0.23775312499760695,-0.32645366872954895,-0.011350614332936746,208278,86733,18998
