lookback_window,model,markout_horizon,mae,rmse,mean_signed_error,rank_correlation,n
10,M1_flow,100,3.4007581596406267,5.297863447294826,-0.3258876821744407,0.37518597323195824,786
10,M2_flow_depletion,100,3.396460021834962,5.3180548013898985,-0.28575449385871826,0.3828929039649713,786
10,M3_interaction,100,3.4151679299318634,5.361115028361255,-0.2653818520922502,0.3833929512201345,786
10,M0_controls,500,4.206574296398309,4.4259825583769,-2.2739856522152317,-0.041198751165855065,112
10,M1_flow,500,5.127371706591688,5.455873028982927,-3.144881501831031,-0.1704254721112585,112
10,M2_flow_depletion,500,5.4965169536399525,5.822935297847553,-2.9825881020860447,-0.1535083794219742,112
10,M3_interaction,500,5.986045347804321,6.736751090980065,-2.5367146337626076,-0.16833599065533067,112
20,M0_controls,10,3.118851205571134,4.497547707273538,0.8977607762991837,0.8959899532893334,870
20,M1_flow,10,3.017074942427941,4.398157215849471,0.8742790673030412,0.9020803629965083,870
20,M2_flow_depletion,10,2.9755905791695136,4.368355982898941,0.8857324973358446,0.9041525115590687,870
20,M3_interaction,10,2.9526075474149116,4.352607881337832,0.8826142954222875,0.9038139695908326,870
20,M0_controls,50,4.6455154457698535,6.761062188137669,-0.10009870324024567,0.7271208126422598,828
20,M1_flow,50,4.531175934810406,6.585403705941918,-0.14458631040088632,0.7431859833992639,828
20,M2_flow_depletion,50,4.463942969911826,6.538670609294963,-0.13726986969851313,0.7423250109644612,828
20,M3_interaction,50,4.4906237060873195,6.557490829745778,-0.1333643491496289,0.7355228285887885,828
20,M0_controls,100,3.4374989407742342,5.40232236384241,-0.29238466488366205,0.3685131270499355,786
20,M1_flow,100,3.376382206237928,5.274496927449791,-0.33338806625632245,0.3829586728731598,786
20,M2_flow_depletion,100,3.3631082518524553,5.2805653450393715,-0.27267332465516586,0.3845398600354037,786
20,M3_interaction,100,3.3614086786460136,5.279069280364459,-0.2730051241899684,0.3844801425700221,786
20,M0_controls,500,4.206574296398309,4.4259825583769,-2.2739856522152317,-0.041198751165855065,112
20,M1_flow,500,5.112772491866766,5.526610574156049,-3.5768833965042086,-0.2085371000604661,112
20,M2_flow_depletion,500,5.386741177875969,5.877106582023973,-3.770611850603789,-0.13527251564985027,112
20,M3_interaction,500,5.615997691159598,6.010680521758456,-3.5519107121433637,-0.1924206898143345,112
50,M0_controls,10,3.118851205571134,4.497547707273538,0.8977607762991837,0.8959899532893334,870
50,M1_flow,10,2.974664350811161,4.2292381169056394,0.7989409232198427,0.9092765001948984,870
50,M2_flow_depletion,10,3.053655862232775,4.258472957763473,0.8093258650547962,0.9067808754337829,870
50,M3_interaction,10,3.039872145571132,4.256998908008898,0.8322708105354533,0.9047041402206822,870
50,M0_controls,50,4.6455154457698535,6.761062188137669,-0.10009870324024567,0.7271208126422598,828
50,M1_flow,50,4.541099091587031,6.38136292391067,-0.31141279844993786,0.7810749492988454,828
50,M2_flow_depletion,50,4.898717635170959,6.587462761059214,-0.24636994813608815,0.7533610309267688,828
50,M3_interaction,50,4.86842656317812,6.571138950916604,-0.19551473684375026,0.7437891305612062,828
50,M0_controls,100,3.4374989407742342,5.40232236384241,-0.29238466488366205,0.3685131270499355,786
50,M1_flow,100,3.290509564183298,5.062591603307209,-0.49124633471809365,0.5197913305253115,786
50,M2_flow_depletion,100,3.5361771821896584,5.267164097002063,-0.36665457998015494,0.5102324260511003,786
50,M3_interaction,100,3.5216064111040426,5.2843510064849895,-0.2987297427423811,0.4975646856845763,786
50,M0_controls,500,4.206574296398309,4.4259825583769,-2.2739856522152317,-0.041198751165855065,112
50,M1_flow,500,6.7078233522230715,7.203401428819786,-6.7078233522230715,-0.027612839978029446,112
50,M2_flow_depletion,500,6.7582902373488665,7.4443685461789375,-6.310644664628228,-0.24249973716788273,112
50,M3_interaction,500,6.720948243648783,7.4268817528437205,-6.399193063217913,-0.21489546063844314,112
100,M0_controls,10,3.118851205571134,4.497547707273538,0.8977607762991837,0.8959899532893334,870
100,M1_flow,10,3.20038637030724,4.1747311380197125,0.7267159730029378,0.9135793553950671,870
100,M2_flow_depletion,10,3.2731274275051567,4.223323468893433,0.6807615966744645,0.9081780922596973,870
100,M3_interaction,10,3.299472850228035,4.238326267195712,0.9122242811071816,0.8693894604954725,870
100,M0_controls,50,4.6455154457698535,6.761062188137669,-0.10009870324024567,0.7271208126422598,828
100,M1_flow,50,5.136006151330737,6.633051054791408,-0.4335255408409431,0.8490587935288252,828
100,M2_flow_depletion,50,5.472767755268551,6.926964148721042,-0.6316620712593674,0.8171820134576788,828
100,M3_interaction,50,5.394016710061235,6.835418457606716,-0.23952599619770695,0.7646391844609237,828
100,M0_controls,100,3.4374989407742342,5.40232236384241,-0.29238466488366205,0.3685131270499355,786
100,M1_flow,100,3.604348983679128,5.184643644070079,-0.6020980385495288,0.6888503690000929,786
100,M2_flow_depletion,100,3.7696831153817865,5.320645956224127,-0.7373582602486832,0.6812312194785227,786
100,M3_interaction,100,3.655826406193893,5.22666536165404,-0.3888332507356796,0.5904340867509288,786
100,M0_controls,500,4.206574296398309,4.4259825583769,-2.2739856522152317,-0.041198751165855065,112
100,M1_flow,500,8.209957897494865,8.45515548607166,-8.209957897494865,0.18710706996432142,112
100,M2_flow_depletion,500,7.8634052086805655,8.284056540000092,-7.8634052086805655,-0.021832512179868528,112
100,M3_interaction,500,7.951613963936462,8.708953442941214,-7.951613963936462,-0.26110382922937103,112
200,M0_controls,10,3.118851205571134,4.497547707273538,0.8977607762991837,0.8959899532893334,870
200,M1_flow,10,2.6962405813410903,4.142952847664842,1.0398827251940514,0.90933760052533,870
200,M2_flow_depletion,10,2.698150984265417,4.145552778502269,1.042399498518114,0.9075772318392312,870
200,M3_interaction,10,3.0203874068438505,4.464918471212159,0.7766458322540715,0.895221457050719,870
200,M0_controls,50,4.6455154457698535,6.761062188137669,-0.10009870324024567,0.7271208126422598,828
200,M1_flow,50,4.182163519232927,6.064386554861986,0.26273026690983875,0.7972405383807443,828
200,M2_flow_depletion,50,4.21563590980097,6.1364021879946025,0.2466813062116755,0.7621639329242009,828
200,M3_interaction,50,4.413927889838014,6.23317894489376,0.06391353477378632,0.7983823118365605,828
200,M0_controls,100,3.4374989407742342,5.40232236384241,-0.29238466488366205,0.3685131270499355,786
200,M1_flow,100,3.0344399580870673,5.004014231735627,0.05989847207157927,0.3963920392282153,786
200,M2_flow_depletion,100,3.164202073204488,5.055959293897165,0.04421428458569886,0.3884593106510113,786
200,M3_interaction,100,3.4434091972133514,5.41496812025005,0.3958045504319437,0.3385503403967274,786
200,M0_controls,500,4.206574296398309,4.4259825583769,-2.2739856522152317,-0.041198751165855065,112
200,M1_flow,500,6.070797176086195,7.444971256793602,-5.444762230739224,-0.2637113993249859,112
200,M2_flow_depletion,500,6.421284428116354,7.894776857469075,-5.670663938979297,-0.27758846776486695,112
200,M3_interaction,500,6.437200279573661,7.9205357714656515,-5.643177918043958,-0.2737948600395554,112
500,M0_controls,10,3.118851205571134,4.497547707273538,0.8977607762991837,0.8959899532893334,870
500,M1_flow,10,3.3600599361321017,4.559178035136266,0.7448518194779882,0.8960766917196494,870
500,M2_flow_depletion,10,3.356506123186404,4.542035284078496,0.7026046597894874,0.8945685091209599,870
500,M3_interaction,10,3.36112074477882,4.5417948637947925,0.7040875841454671,0.8946599498082948,870
500,M0_controls,50,4.6455154457698535,6.761062188137669,-0.10009870324024567,0.7271208126422598,828
500,M1_flow,50,5.8086637713850395,7.240619202968987,-0.9539865948819477,0.5433006648424689,828
500,M2_flow_depletion,50,5.799611811499488,7.237735885353633,-1.0048974544709215,0.5518402475650518,828
500,M3_interaction,50,5.810668735886742,7.237830280804311,-1.0016316335205637,0.5508441170300278,828
500,M0_controls,100,3.4374989407742342,5.40232236384241,-0.29238466488366205,0.3685131270499355,786
500,M1_flow,100,4.41008108993985,5.861851720318238,-1.313344771871497,0.2603363207192106,786
500,M2_flow_depletion,100,4.416525890527172,5.881566605988326,-1.3133952216465687,0.25301084948030417,786
500,M3_interaction,100,4.418669376204156,5.881721742938393,-1.3127331993409737,0.2533594526540648,786
500,M0_controls,500,4.206574296398309,4.4259825583769,-2.2739856522152317,-0.041198751165855065,112
500,M1_flow,500,2.127261590359343,2.6756793480202434,-0.230468038514992,-0.12561294564047912,112
500,M2_flow_depletion,500,2.723978691132795,3.362486399035062,-0.6622122175455747,-0.2591299543294064,112
500,M3_interaction,500,2.6949228840630974,3.296193606996684,-0.580563619596521,-0.1859766947504588,112
