step,mid_price,microprice,microprice_deviation,spread_bps,queue_imbalance,signed_trade_volume,order_flow_imbalance
35,9999.5,9999.53633217993,0.036332179930468556,1.000050002500125,0.0726643598615917,11,1.0
36,9999.5,9999.54109589041,0.04109589041036088,1.000050002500125,0.0821917808219178,0,0.0
37,9999.5,9999.51633986928,0.01633986928027298,1.000050002500125,0.032679738562091505,0,0.0
38,9999.5,9999.524115755627,0.024115755626553437,1.000050002500125,0.04823151125401929,0,0.0
39,9999.5,9999.510971786834,0.01097178683448874,1.000050002500125,0.0219435736677116,0,0.0
40,9999.5,9999.522435897436,0.02243589743557095,1.000050002500125,0.04487179487179487,7,1.0
41,9999.5,9999.534426229508,0.03442622950751684,1.000050002500125,0.06885245901639345,7,1.0
42,9999.5,9999.535947712418,0.03594771241841954,1.000050002500125,0.0718954248366013,0,0.0
43,9999.5,9999.523489932886,0.0234899328861502,1.000050002500125,0.04697986577181208,0,0.0
44,9999.5,9999.535947712418,0.03594771241841954,1.000050002500125,0.0718954248366013,0,0.0
45,9999.5,9999.514106583072,0.014106583072134526,1.000050002500125,0.02821316614420063,0,0.0
46,9999.5,9999.503067484662,0.003067484662096831,1.000050002500125,0.006134969325153374,0,0.0
47,9999.5,9999.5,0.0,1.000050002500125,0.0,0,0.0
48,9999.5,9999.486646884274,-0.013353115726204123,1.000050002500125,-0.026706231454005934,0,0.0
49,9999.5,9999.5,0.0,1.000050002500125,0.0,0,0.0
50,9999.5,9999.519444444444,0.01944444444416149,1.000050002500125,0.03888888888888889,0,0.0
51,9999.5,9999.52602739726,0.026027397259895224,1.000050002500125,0.052054794520547946,0,0.0
52,9999.5,9999.536193029491,0.03619302949118719,1.000050002500125,0.07238605898123325,0,0.0
53,9999.5,9999.538666666667,0.038666666667268146,1.000050002500125,0.07733333333333334,0,0.0
54,9999.5,9999.548302872063,0.04830287206277717,1.000050002500125,0.09660574412532637,0,0.0
55,9999.5,9999.549479166666,0.04947916666606034,1.000050002500125,0.09895833333333333,0,0.0
56,9999.5,9999.532828282829,0.03282828282863193,1.000050002500125,0.06565656565656566,0,0.0
57,9999.5,9999.523195876289,0.023195876288809814,1.000050002500125,0.04639175257731959,-8,-1.0
58,9999.5,9999.517857142857,0.017857142856883,1.000050002500125,0.03571428571428571,0,0.0
59,9999.5,9999.510050251256,0.010050251255961484,1.000050002500125,0.020100502512562814,0,0.0
60,9999.5,9999.524547803618,0.024547803617679165,1.000050002500125,0.04909560723514212,11,1.0
61,9999.5,9999.528205128205,0.028205128204717766,1.000050002500125,0.05641025641025641,0,0.0
62,9999.5,9999.537859007833,0.037859007832594216,1.000050002500125,0.07571801566579635,7,1.0
63,9999.5,9999.540259740259,0.04025974025898904,1.000050002500125,0.08051948051948052,0,0.0
64,9999.5,9999.53470437018,0.03470437018040684,1.000050002500125,0.06940874035989718,0,0.0
65,9999.5,9999.54292929293,0.04292929292932968,1.000050002500125,0.08585858585858586,0,0.0
66,9999.5,9999.52987012987,0.02987012987068738,1.000050002500125,0.05974025974025974,-11,-1.0
67,9999.5,9999.532299741602,0.0322997416024009,1.000050002500125,0.06459948320413436,0,0.0
68,9999.5,9999.549333333332,0.04933333333246992,1.000050002500125,0.09866666666666667,12,1.0
69,9999.5,9999.555263157894,0.05526315789393266,1.000050002500125,0.11052631578947368,0,0.0
